Time	Ch 0
[s]	[V]
0.239327	0.688107
0.239994	0.700276
0.240661	0.711786
0.241327	0.724283
0.241994	0.735793
0.242661	0.748948
0.243327	0.760129
0.243994	0.771968
0.244661	0.784136
0.245327	0.795318
0.245994	0.807486
0.246660	0.819325
0.247327	0.831493
0.247994	0.843332
0.248660	0.854842
0.249327	0.866681
0.249994	0.878849
0.250660	0.889702
0.251327	0.901541
0.251994	0.913051
0.252660	0.925548
0.253327	0.937058
0.253994	0.948569
0.254660	0.960408
0.255327	0.972247
0.255994	0.983757
0.256660	0.995596
0.257327	1.006120
0.257994	1.018617
0.258660	1.030127
0.259327	1.042295
0.259993	1.053477
0.260660	1.064658
0.261327	1.076168
0.261993	1.087350
0.262660	1.098531
0.263327	1.110042
0.263993	1.121223
0.264660	1.133062
0.265327	1.144572
0.265993	1.156083
0.266660	1.166935
0.267327	1.178117
0.267993	1.189627
0.268660	1.200808
0.269327	1.211990
0.269993	1.223171
0.270660	1.234353
0.271327	1.245205
0.271993	1.256387
0.272660	1.268555
0.273326	1.279407
0.273993	1.290589
0.274660	1.300783
0.275326	1.312294
0.275993	1.323146
0.276660	1.333670
0.277326	1.345180
0.277993	1.356033
0.278660	1.367214
0.279326	1.378067
0.279993	1.387604
0.280660	1.399114
0.281326	1.408651
0.281993	1.419833
0.282660	1.430685
0.283326	1.441209
0.283993	1.452390
0.284660	1.463572
0.285326	1.473766
0.285993	1.483632
0.286660	1.494485
0.287326	1.504351
0.287993	1.514875
0.288659	1.525727
0.289326	1.535922
0.289993	1.546446
0.290659	1.555983
0.291326	1.566835
0.291993	1.577359
0.292659	1.586896
0.293326	1.598077
0.293993	1.607943
0.294659	1.617809
0.295326	1.628004
0.295993	1.638199
0.296659	1.648723
0.297326	1.658260
0.297993	1.667797
0.298659	1.678320
0.299326	1.687529
0.299992	1.698381
0.300659	1.707589
0.301326	1.716798
0.301992	1.726664
0.302659	1.736858
0.303326	1.746724
0.303992	1.756590
0.304659	1.766127
0.305326	1.775993
0.305992	1.785202
0.306659	1.794739
0.307326	1.804933
0.307992	1.814142
0.308659	1.823350
0.309326	1.832558
0.309992	1.841437
0.310659	1.850975
0.311326	1.860183
0.311992	1.869720
0.312659	1.879257
0.313325	1.888136
0.313992	1.897344
0.314659	1.906224
0.315325	1.915761
0.315992	1.924311
0.316659	1.932204
0.317325	1.942399
0.317992	1.951936
0.318659	1.960487
0.319325	1.968379
0.319992	1.977588
0.320659	1.986467
0.321325	1.994689
0.321992	2.002252
0.322659	2.011789
0.323325	2.020998
0.323992	2.029548
0.324659	2.037770
0.325325	2.046320
0.325992	2.055200
0.326658	2.063421
0.327325	2.072629
0.327992	2.080522
0.328658	2.089073
0.329325	2.096637
0.329992	2.104858
0.330658	2.113080
0.331325	2.121630
0.331992	2.129523
0.332658	2.137087
0.333325	2.145637
0.333992	2.153201
0.334658	2.161752
0.335325	2.168987
0.335992	2.176880
0.336658	2.184444
0.337325	2.191679
0.337992	2.199242
0.338658	2.207464
0.339325	2.215028
0.339992	2.222592
0.340658	2.229169
0.341325	2.237062
0.341991	2.244955
0.342658	2.251861
0.343325	2.259754
0.343991	2.266660
0.344658	2.274224
0.345325	2.280801
0.345991	2.288036
0.346658	2.295600
0.347325	2.302506
0.347991	2.309412
0.348658	2.315989
0.349325	2.322567
0.349991	2.330131
0.350658	2.336050
0.351325	2.343285
0.351991	2.350191
0.352658	2.356769
0.353324	2.363346
0.353991	2.369594
0.354658	2.376829
0.355324	2.383078
0.355991	2.389655
0.356658	2.395246
0.357324	2.402810
0.357991	2.408729
0.358658	2.413991
0.359324	2.420897
0.359991	2.426817
0.360658	2.432736
0.361324	2.438985
0.361991	2.445233
0.362658	2.450495
0.363324	2.457072
0.363991	2.463650
0.364658	2.468912
0.365324	2.474502
0.365991	2.480093
0.366657	2.485684
0.367324	2.491603
0.367991	2.497523
0.368657	2.502456
0.369324	2.509033
0.369991	2.514295
0.370657	2.519557
0.371324	2.524161
0.371991	2.530080
0.372657	2.535342
0.373324	2.540604
0.373991	2.545866
0.374657	2.550799
0.375324	2.556390
0.375991	2.561323
0.376657	2.565269
0.377324	2.570531
0.377991	2.576121
0.378657	2.580397
0.379324	2.585330
0.379991	2.590592
0.380657	2.593880
0.381324	2.598484
0.381990	2.603417
0.382657	2.608350
0.383324	2.613283
0.383990	2.616901
0.384657	2.621505
0.385324	2.625780
0.385990	2.630055
0.386657	2.634002
0.387324	2.637619
0.387990	2.641894
0.388657	2.645841
0.389324	2.650116
0.389990	2.653734
0.390657	2.658009
0.391324	2.661297
0.391990	2.665573
0.392657	2.669848
0.393323	2.672808
0.393990	2.677083
0.394657	2.680372
0.395323	2.683660
0.395990	2.686949
0.396657	2.690566
0.397323	2.693855
0.397990	2.697473
0.398657	2.700103
0.399323	2.703721
0.399990	2.706352
0.400657	2.709641
0.401323	2.712929
0.401990	2.715560
0.402657	2.719506
0.403323	2.721809
0.403990	2.724111
0.404657	2.726741
0.405323	2.729701
0.405990	2.732003
0.406656	2.734963
0.407323	2.737265
0.407990	2.739896
0.408656	2.742527
0.409323	2.744500
0.409990	2.746802
0.410656	2.749433
0.411323	2.751406
0.411990	2.753708
0.412656	2.756339
0.413323	2.757655
0.413990	2.759628
0.414656	2.761601
0.415323	2.763574
0.415990	2.764890
0.416656	2.767850
0.417323	2.769165
0.417990	2.770809
0.418656	2.772125
0.419323	2.772783
0.419989	2.776071
0.420656	2.776729
0.421323	2.778373
0.421989	2.779689
0.422656	2.780018
0.423323	2.781991
0.423989	2.783964
0.424656	2.784293
0.425323	2.785608
0.425989	2.786595
0.426656	2.787910
0.427323	2.788568
0.427989	2.789226
0.428656	2.791199
0.429323	2.791528
0.429989	2.792843
0.430656	2.792514
0.431323	2.793830
0.431989	2.794488
0.432656	2.794816
0.433322	2.795474
0.433989	2.796132
0.434656	2.796132
0.435322	2.796461
0.435989	2.796461
0.436656	2.795803
0.437322	2.795803
0.437989	2.796132
0.438656	2.796132
0.439322	2.796461
0.439989	2.796461
0.440656	2.796132
0.441322	2.796461
0.441989	2.796132
0.442656	2.795803
0.443322	2.794816
0.443989	2.794488
0.444656	2.794816
0.445322	2.793172
0.445989	2.792514
0.446655	2.792514
0.447322	2.791857
0.447989	2.790870
0.448655	2.789226
0.449322	2.787910
0.449989	2.787253
0.450655	2.785279
0.451322	2.784951
